config,batch_id,send_time,start_time,end_time,calc_time,latency
baseline_concurrent,0,1783882076.042648,1783882076.051409,1783882080.90992,4.859,4.867
baseline_concurrent,1,1783882076.0441887,1783882076.058017,1783882082.1358047,6.078,6.092
baseline_concurrent,2,1783882076.0442533,1783882076.076485,1783882082.3081093,6.232,6.264
baseline_concurrent,3,1783882076.0442924,1783882076.0949159,1783882083.0082638,6.913,6.964
baseline_concurrent,4,1783882076.0443227,1783882076.1132402,1783882083.0986722,6.985,7.054
baseline_concurrent,5,1783882076.0443492,1783882076.1151822,1783882081.9758174,5.861,5.931
baseline_concurrent,6,1783882076.0443714,1783882076.1156602,1783882082.8210425,6.705,6.777
baseline_concurrent,7,1783882076.0443935,1783882076.1159897,1783882082.4233584,6.307,6.379
baseline_concurrent,8,1783882076.0444138,1783882080.909944,1783882093.000189,12.09,16.956
baseline_concurrent,9,1783882076.0444336,1783882081.9758403,1783882092.7625327,10.787,16.718
baseline_concurrent,10,1783882076.044454,1783882082.1358206,1783882092.9489942,10.813,16.905
baseline_concurrent,11,1783882076.0444736,1783882082.308126,1783882092.9027367,10.595,16.858
baseline_concurrent,12,1783882076.0444956,1783882082.423375,1783882091.4380097,9.015,15.394
baseline_concurrent,13,1783882076.0445156,1783882082.8210585,1783882091.6686342,8.848,15.624
baseline_concurrent,14,1783882076.0445354,1783882083.0082817,1783882092.83073,9.822,16.786
baseline_concurrent,15,1783882076.044555,1783882083.0986898,1783882092.939543,9.841,16.895
baseline_concurrent,16,1783882076.044574,1783882091.43878,1783882098.5146296,7.076,22.47
baseline_concurrent,17,1783882076.0445924,1783882091.6711926,1783882097.3473043,5.676,21.303
baseline_concurrent,18,1783882076.0446107,1783882092.7936676,1783882097.62496,4.831,21.58
baseline_concurrent,19,1783882076.044629,1783882092.8371964,1783882098.259282,5.422,22.215
baseline_concurrent,20,1783882076.0446484,1783882092.9027786,1783882097.7319703,4.829,21.687
baseline_concurrent,21,1783882076.044669,1783882092.9515371,1783882098.2424378,5.291,22.198
baseline_concurrent,22,1783882076.044689,1783882092.9539046,1783882098.9721794,6.018,22.927
baseline_concurrent,23,1783882076.0447085,1783882093.0009649,1783882097.7165947,4.716,21.672
baseline_concurrent,24,1783882076.0447273,1783882097.3473225,1783882110.2398198,12.892,34.195
baseline_concurrent,25,1783882076.0447462,1783882097.627183,1783882107.8199987,10.193,31.775
baseline_concurrent,26,1783882076.044765,1783882097.716611,1783882108.8864236,11.17,32.842
baseline_concurrent,27,1783882076.0447862,1783882097.7319884,1783882109.2492237,11.517,33.204
baseline_concurrent,28,1783882076.0448053,1783882098.242456,1783882108.3051934,10.063,32.26
baseline_concurrent,29,1783882076.0448236,1783882098.2592995,1783882108.7831714,10.524,32.738
baseline_concurrent,30,1783882076.0448415,1783882098.5146477,1783882111.2731144,12.758,35.228
baseline_concurrent,31,1783882076.04486,1783882098.9721987,1783882107.6885366,8.716,31.644
baseline_concurrent,32,1783882076.0448785,1783882107.6885543,1783882113.911621,6.223,37.867
baseline_concurrent,33,1783882076.044898,1783882107.8200169,1783882112.9768264,5.157,36.932
baseline_concurrent,34,1783882076.0449166,1783882108.3052146,1783882114.8372118,6.532,38.792
baseline_concurrent,35,1783882076.0449352,1783882108.7831876,1783882114.338654,5.555,38.294
baseline_concurrent,36,1783882076.0449572,1783882108.886441,1783882113.3167195,4.43,37.272
baseline_concurrent,37,1783882076.0449774,1783882109.2492414,1783882115.9359322,6.687,39.891
baseline_concurrent,38,1783882076.0449958,1783882110.239857,1783882115.626972,5.387,39.582
baseline_concurrent,39,1783882076.045014,1783882111.2731333,1783882117.3342593,6.061,41.289
baseline_concurrent,40,1783882076.045032,1783882112.9768445,1783882118.1097422,5.133,42.065
baseline_concurrent,41,1783882076.045055,1783882113.3167372,1783882119.838185,6.521,43.793
baseline_concurrent,42,1783882076.0450733,1783882113.911666,1783882120.3918114,6.48,44.347
baseline_concurrent,43,1783882076.0450912,1783882114.3386705,1783882121.1484652,6.81,45.103
baseline_concurrent,44,1783882076.0451095,1783882114.8382401,1783882121.8429728,7.005,45.798
baseline_concurrent,45,1783882076.0451276,1783882115.6269882,1783882121.3292086,5.702,45.284
baseline_concurrent,46,1783882076.0451455,1783882115.935949,1783882121.25673,5.321,45.212
baseline_concurrent,47,1783882076.0451922,1783882117.3343108,1783882122.5395863,5.205,46.494
baseline_concurrent,48,1783882076.0452125,1783882118.1097827,1783882123.262276,5.152,47.217
baseline_concurrent,49,1783882076.0452309,1783882119.838202,1783882126.2989316,6.461,50.254
baseline_concurrent,50,1783882076.045259,1783882120.3918295,1783882127.0112581,6.619,50.966
baseline_concurrent,51,1783882076.0452778,1783882121.1502857,1783882126.806689,5.656,50.761
baseline_concurrent,52,1783882076.0453155,1783882121.2567468,1783882127.9087312,6.652,51.863
baseline_concurrent,53,1783882076.0453372,1783882121.329491,1783882127.0543687,5.725,51.009
baseline_concurrent,54,1783882076.045356,1783882121.8429918,1783882127.2442734,5.401,51.199
baseline_concurrent,55,1783882076.0453737,1783882122.539604,1783882128.4404674,5.901,52.395
baseline_concurrent,56,1783882076.0453951,1783882123.262302,1783882128.530464,5.268,52.485
baseline_concurrent,57,1783882076.045413,1783882126.2990105,1783882131.1198537,4.821,55.074
baseline_concurrent,58,1783882076.0454323,1783882126.8067079,1783882132.60564,5.799,56.56
baseline_concurrent,59,1783882076.04545,1783882127.0112753,1783882132.237085,5.226,56.192
baseline_concurrent,60,1783882076.0454698,1783882127.054387,1783882132.453752,5.399,56.408
baseline_concurrent,61,1783882076.045488,1783882127.2442975,1783882132.9235861,5.679,56.878
baseline_concurrent,62,1783882076.045505,1783882127.9088047,1783882134.077183,6.168,58.032
baseline_concurrent,63,1783882076.0455215,1783882128.4404833,1783882134.4250438,5.985,58.38
baseline_concurrent,64,1783882076.045538,1783882128.530481,1783882133.8626847,5.332,57.817
baseline_concurrent,65,1783882076.0455558,1783882131.1198723,1783882137.3630576,6.243,61.318
baseline_concurrent,66,1783882076.0455728,1783882132.2371278,1783882137.6877878,5.451,61.642
baseline_concurrent,67,1783882076.0455892,1783882132.4537692,1783882139.42994,6.976,63.384
baseline_concurrent,68,1783882076.045609,1783882132.6056566,1783882138.490102,5.884,62.444
baseline_concurrent,69,1783882076.0456262,1783882132.9236033,1783882139.267567,6.344,63.222
baseline_concurrent,70,1783882076.0456429,1783882133.8627024,1783882139.5779867,5.715,63.532
baseline_concurrent,71,1783882076.0456605,1783882134.0772004,1783882139.8592272,5.782,63.814
baseline_concurrent,72,1783882076.0456777,1783882134.4250596,1783882139.4130733,4.988,63.367
baseline_concurrent,73,1783882076.0456944,1783882137.3630743,1783882141.6756277,4.313,65.63
baseline_concurrent,74,1783882076.0457654,1783882137.6878045,1783882141.009235,3.321,64.963
baseline_concurrent,75,1783882076.0457869,1783882138.4901965,1783882141.5792844,3.089,65.533
baseline_concurrent,76,1783882076.0458047,1783882139.2676146,1783882149.287407,10.02,73.242
baseline_concurrent,77,1783882076.0458236,1783882139.4130998,1783882150.2711165,10.858,74.225
baseline_concurrent,78,1783882076.0458407,1783882139.4300177,1783882150.2955773,10.866,74.25
baseline_concurrent,79,1783882076.045857,1783882139.5780096,1783882152.6208847,13.043,76.575
baseline_concurrent,80,1783882076.0458732,1783882139.8594077,1783882152.877231,13.018,76.831
baseline_concurrent,81,1783882076.0458891,1783882141.0092542,1783882149.433253,8.424,73.387
baseline_concurrent,82,1783882076.0459054,1783882141.579319,1783882150.3715663,8.792,74.326
baseline_concurrent,83,1783882076.0459285,1783882141.6756465,1783882151.5065997,9.831,75.461
baseline_concurrent,84,1783882076.0459468,1783882149.2874227,1783882153.23356,3.946,77.188
baseline_concurrent,85,1783882076.0459645,1783882149.4332812,1783882154.826093,5.393,78.78
baseline_concurrent,86,1783882076.045982,1783882150.2711332,1783882155.3153775,5.044,79.269
baseline_concurrent,87,1783882076.045999,1783882150.2955954,1783882155.6787474,5.383,79.633
baseline_concurrent,88,1783882076.0460162,1783882150.3717084,1783882157.0166452,6.645,80.971
baseline_concurrent,89,1783882076.046033,1783882151.506676,1783882157.17018,5.664,81.124
baseline_concurrent,90,1783882076.0460498,1783882152.6209018,1783882158.2020795,5.581,82.156
baseline_concurrent,91,1783882076.0460663,1783882152.87728,1783882158.6698153,5.793,82.624
baseline_concurrent,92,1783882076.0460825,1783882153.2335777,1783882158.8763454,5.643,82.83
baseline_concurrent,93,1783882076.0460992,1783882154.8261101,1783882160.459404,5.633,84.413
baseline_concurrent,94,1783882076.046116,1783882155.3153958,1783882162.3465579,7.031,86.3
baseline_concurrent,95,1783882076.0461326,1783882155.678765,1783882160.4001734,4.721,84.354
baseline_concurrent,96,1783882076.046165,1783882157.0166602,1783882163.2784014,6.262,87.232
baseline_concurrent,97,1783882076.0461853,1783882157.1704407,1783882164.6440074,7.474,88.598
baseline_concurrent,98,1783882076.046203,1783882158.202098,1783882163.0668118,4.865,87.021
baseline_concurrent,99,1783882076.0462193,1783882158.6698422,1783882163.541918,4.872,87.496
