config,batch_id,send_time,start_time,end_time,calc_time,latency
baseline_sequential,0,1783881928.013725,1783881928.023581,1783881930.1455116,2.122,2.132
baseline_sequential,1,1783881928.0147352,1783881930.145535,1783881931.397353,1.252,3.383
baseline_sequential,2,1783881928.0147893,1783881931.3973734,1783881932.6299057,1.233,4.615
baseline_sequential,3,1783881928.0148382,1783881932.629926,1783881933.9673085,1.337,5.952
baseline_sequential,4,1783881928.01487,1783881933.9673288,1783881935.2289143,1.262,7.214
baseline_sequential,5,1783881928.014897,1783881935.2289321,1783881936.4435945,1.215,8.429
baseline_sequential,6,1783881928.0149212,1783881936.4436111,1783881937.7945867,1.351,9.78
baseline_sequential,7,1783881928.0149426,1783881937.7946053,1783881939.142509,1.348,11.128
baseline_sequential,8,1783881928.014965,1783881939.1425266,1783881940.416646,1.274,12.402
baseline_sequential,9,1783881928.0149863,1783881940.4166658,1783881941.612367,1.196,13.597
baseline_sequential,10,1783881928.015007,1783881941.612468,1783881942.9677548,1.355,14.953
baseline_sequential,11,1783881928.015027,1783881942.9677753,1783881944.497362,1.53,16.482
baseline_sequential,12,1783881928.0150468,1783881944.4973805,1783881945.6511855,1.154,17.636
baseline_sequential,13,1783881928.0150661,1783881945.6512036,1783881946.867127,1.216,18.852
baseline_sequential,14,1783881928.0150852,1783881946.867158,1783881948.208756,1.342,20.194
baseline_sequential,15,1783881928.0151196,1783881948.2087748,1783881949.473125,1.264,21.458
baseline_sequential,16,1783881928.0151405,1783881949.473164,1783881950.6515822,1.178,22.636
baseline_sequential,17,1783881928.0151885,1783881950.651601,1783881951.868116,1.217,23.853
baseline_sequential,18,1783881928.0152097,1783881951.8681424,1783881953.0796971,1.212,25.064
baseline_sequential,19,1783881928.0152295,1783881953.079714,1783881954.4386559,1.359,26.423
baseline_sequential,20,1783881928.0152476,1783881954.4387279,1783881955.6235397,1.185,27.608
baseline_sequential,21,1783881928.0152655,1783881955.6235573,1783881956.8154309,1.192,28.8
baseline_sequential,22,1783881928.0152833,1783881956.81545,1783881958.2232337,1.408,30.208
baseline_sequential,23,1783881928.0153024,1783881958.2232528,1783881959.4609897,1.238,31.446
baseline_sequential,24,1783881928.0153205,1783881959.4610069,1783881960.756086,1.295,32.741
baseline_sequential,25,1783881928.0153396,1783881960.7561061,1783881961.999217,1.243,33.984
baseline_sequential,26,1783881928.0153573,1783881961.9992363,1783881963.2038264,1.205,35.188
baseline_sequential,27,1783881928.015377,1783881963.2038443,1783881964.4295652,1.226,36.414
baseline_sequential,28,1783881928.0153954,1783881964.4295835,1783881965.8017247,1.372,37.786
baseline_sequential,29,1783881928.0154145,1783881965.801744,1783881967.1214604,1.32,39.106
baseline_sequential,30,1783881928.0154321,1783881967.1215267,1783881968.354335,1.233,40.339
baseline_sequential,31,1783881928.0154493,1783881968.3543532,1783881969.5467193,1.192,41.531
baseline_sequential,32,1783881928.0154662,1783881969.5467372,1783881970.752641,1.206,42.737
baseline_sequential,33,1783881928.0154843,1783881970.7526596,1783881971.9556813,1.203,43.94
baseline_sequential,34,1783881928.0155013,1783881971.9557002,1783881973.1124427,1.157,45.097
baseline_sequential,35,1783881928.015519,1783881973.1124613,1783881974.5186975,1.406,46.503
baseline_sequential,36,1783881928.0155358,1783881974.5187154,1783881975.7114909,1.193,47.696
baseline_sequential,37,1783881928.0155532,1783881975.711509,1783881976.8849401,1.173,48.869
baseline_sequential,38,1783881928.0155747,1783881976.884959,1783881978.221579,1.337,50.206
baseline_sequential,39,1783881928.0155933,1783881978.2215974,1783881979.447217,1.226,51.432
baseline_sequential,40,1783881928.0156097,1783881979.4472873,1783881980.7093468,1.262,52.694
baseline_sequential,41,1783881928.0156326,1783881980.7093647,1783881981.8804753,1.171,53.865
baseline_sequential,42,1783881928.0156505,1783881981.8804934,1783881983.0264711,1.146,55.011
baseline_sequential,43,1783881928.0156677,1783881983.02649,1783881984.1623592,1.136,56.147
baseline_sequential,44,1783881928.0156848,1783881984.162377,1783881985.4119563,1.25,57.396
baseline_sequential,45,1783881928.0157013,1783881985.4119756,1783881986.654853,1.243,58.639
baseline_sequential,46,1783881928.0157177,1783881986.6548722,1783881987.9050484,1.25,59.889
baseline_sequential,47,1783881928.0157335,1783881987.905067,1783881989.1700246,1.265,61.154
baseline_sequential,48,1783881928.0157497,1783881989.1700423,1783881990.3834531,1.213,62.368
baseline_sequential,49,1783881928.0157657,1783881990.3834713,1783881991.573168,1.19,63.557
baseline_sequential,50,1783881928.0157828,1783881991.5732384,1783881992.8478773,1.275,64.832
baseline_sequential,51,1783881928.015799,1783881992.847896,1783881994.070527,1.223,66.055
baseline_sequential,52,1783881928.0158155,1783881994.070545,1783881995.2886953,1.218,67.273
baseline_sequential,53,1783881928.0158324,1783881995.2887156,1783881996.5340314,1.245,68.518
baseline_sequential,54,1783881928.015854,1783881996.5340502,1783881997.8165522,1.283,69.801
baseline_sequential,55,1783881928.0158753,1783881997.8165686,1783881999.0953417,1.279,71.079
baseline_sequential,56,1783881928.0158923,1783881999.0953598,1783882000.3699493,1.275,72.354
baseline_sequential,57,1783881928.015913,1783882000.369969,1783882001.6308162,1.261,73.615
baseline_sequential,58,1783881928.0159316,1783882001.6308343,1783882002.8495111,1.219,74.834
baseline_sequential,59,1783881928.0159488,1783882002.849532,1783882004.0750394,1.226,76.059
baseline_sequential,60,1783881928.0159652,1783882004.0752733,1783882005.3120253,1.237,77.296
baseline_sequential,61,1783881928.0159824,1783882005.3120427,1783882006.5358047,1.224,78.52
baseline_sequential,62,1783881928.0159993,1783882006.5358226,1783882007.7599404,1.224,79.744
baseline_sequential,63,1783881928.0160153,1783882007.7599604,1783882008.942366,1.182,80.926
baseline_sequential,64,1783881928.0160317,1783882008.9423852,1783882010.1278708,1.185,82.112
baseline_sequential,65,1783881928.0160487,1783882010.1278899,1783882011.369253,1.241,83.353
baseline_sequential,66,1783881928.0160654,1783882011.369271,1783882012.634697,1.265,84.619
baseline_sequential,67,1783881928.0160816,1783882012.6347163,1783882013.9014783,1.267,85.885
baseline_sequential,68,1783881928.0161085,1783882013.9014983,1783882015.1077724,1.206,87.092
baseline_sequential,69,1783881928.0161269,1783882015.1077912,1783882016.286919,1.179,88.271
baseline_sequential,70,1783881928.0161629,1783882016.2869904,1783882017.457208,1.17,89.441
baseline_sequential,71,1783881928.016184,1783882017.457226,1783882018.6618996,1.205,90.646
baseline_sequential,72,1783881928.0162017,1783882018.6619182,1783882019.86934,1.207,91.853
baseline_sequential,73,1783881928.0162196,1783882019.8693578,1783882021.1186607,1.249,93.102
baseline_sequential,74,1783881928.0163016,1783882021.1186788,1783882022.3426363,1.224,94.326
baseline_sequential,75,1783881928.0163214,1783882022.3426554,1783882023.6452909,1.303,95.629
baseline_sequential,76,1783881928.0163398,1783882023.6453087,1783882024.8536804,1.208,96.837
baseline_sequential,77,1783881928.0163577,1783882024.8537033,1783882026.0869496,1.233,98.071
baseline_sequential,78,1783881928.0163753,1783882026.0869677,1783882027.3863158,1.299,99.37
baseline_sequential,79,1783881928.016392,1783882027.3863344,1783882028.5768743,1.191,100.56
baseline_sequential,80,1783881928.0164082,1783882028.5769515,1783882029.800224,1.223,101.784
baseline_sequential,81,1783881928.0164247,1783882029.800243,1783882031.0172493,1.217,103.001
baseline_sequential,82,1783881928.0164416,1783882031.017268,1783882032.3880084,1.371,104.372
baseline_sequential,83,1783881928.0164657,1783882032.388027,1783882033.576573,1.189,105.56
baseline_sequential,84,1783881928.0164833,1783882033.5765905,1783882034.794113,1.218,106.778
baseline_sequential,85,1783881928.0165,1783882034.7941298,1783882036.0889797,1.295,108.072
baseline_sequential,86,1783881928.0165167,1783882036.0889978,1783882037.3165793,1.228,109.3
baseline_sequential,87,1783881928.0165346,1783882037.3165991,1783882038.6680658,1.351,110.652
baseline_sequential,88,1783881928.016552,1783882038.6680875,1783882039.9285243,1.26,111.912
baseline_sequential,89,1783881928.016568,1783882039.928543,1783882041.1385112,1.21,113.122
baseline_sequential,90,1783881928.0165844,1783882041.1385796,1783882042.383191,1.245,114.367
baseline_sequential,91,1783881928.0166006,1783882042.383222,1783882043.5618708,1.179,115.545
baseline_sequential,92,1783881928.0166173,1783882043.5618887,1783882044.9862607,1.424,116.97
baseline_sequential,93,1783881928.0166335,1783882044.9862797,1783882046.1794908,1.193,118.163
baseline_sequential,94,1783881928.01665,1783882046.1795146,1783882047.3655899,1.186,119.349
baseline_sequential,95,1783881928.016667,1783882047.365608,1783882048.587833,1.222,120.571
baseline_sequential,96,1783881928.0166829,1783882048.5878494,1783882049.758091,1.17,121.741
baseline_sequential,97,1783881928.0166986,1783882049.7581089,1783882050.9658675,1.208,122.949
baseline_sequential,98,1783881928.0167146,1783882050.965886,1783882052.22834,1.262,124.212
baseline_sequential,99,1783881928.0167308,1783882052.228358,1783882053.4526346,1.224,125.436
