config,batch_id,send_time,start_time,end_time,calc_time,latency
dask,0,1783882192.2851727,1783882192.2920415,1783882197.356266,5.064,5.071
dask,1,1783882192.2857587,1783882192.2933185,1783882195.1427183,2.849,2.857
dask,2,1783882192.2858143,1783882192.293835,1783882196.2010121,3.907,3.915
dask,3,1783882192.285856,1783882192.2942574,1783882195.3456032,3.051,3.06
dask,4,1783882192.285884,1783882192.2946477,1783882200.1231909,7.829,7.837
dask,5,1783882192.2859097,1783882192.2950196,1783882198.3608267,6.066,6.075
dask,6,1783882192.2859318,1783882192.2954297,1783882198.9683273,6.673,6.682
dask,7,1783882192.2859519,1783882192.295791,1783882198.8652134,6.569,6.579
dask,8,1783882192.2859704,1783882192.296168,1783882200.3286698,8.033,8.043
dask,9,1783882192.28599,1783882192.2965584,1783882203.1426537,10.846,10.857
dask,10,1783882192.2860098,1783882192.2969515,1783882201.8845944,9.588,9.599
dask,11,1783882192.2860286,1783882192.2973642,1783882202.889631,10.592,10.604
dask,12,1783882192.2860487,1783882192.2977204,1783882203.2466002,10.949,10.961
dask,13,1783882192.2860675,1783882192.2980888,1783882205.5026598,13.205,13.217
dask,14,1783882192.2860854,1783882192.2984946,1783882205.5042899,13.206,13.218
dask,15,1783882192.2861037,1783882192.2989118,1783882205.5561929,13.257,13.27
dask,16,1783882192.2861214,1783882192.2993355,1783882210.1352327,17.836,17.849
dask,17,1783882192.2861395,1783882192.299701,1783882206.0600722,13.76,13.774
dask,18,1783882192.286181,1783882192.3001347,1783882208.5172179,16.217,16.231
dask,19,1783882192.2862024,1783882192.30064,1783882209.0807862,16.78,16.795
dask,20,1783882192.2862208,1783882192.3011749,1783882208.570882,16.27,16.285
dask,21,1783882192.2862384,1783882192.301568,1783882212.1983192,19.897,19.912
dask,22,1783882192.2862575,1783882192.3019679,1783882211.8956037,19.594,19.609
dask,23,1783882192.2862773,1783882192.3024151,1783882211.7914507,19.489,19.505
dask,24,1783882192.286297,1783882192.3027904,1783882214.638211,22.335,22.352
dask,25,1783882192.2863152,1783882192.303162,1783882212.5011816,20.198,20.215
dask,26,1783882192.286333,1783882192.3035467,1783882217.805325,25.502,25.519
dask,27,1783882192.28637,1783882192.303915,1783882215.09334,22.789,22.807
dask,28,1783882192.2863908,1783882192.3042872,1783882217.6023805,25.298,25.316
dask,29,1783882192.2864094,1783882192.3046658,1783882214.8906794,22.586,22.604
dask,30,1783882192.2864275,1783882192.3050246,1783882217.5001276,25.195,25.214
dask,31,1783882192.286445,1783882192.3054106,1783882218.7605639,26.455,26.474
dask,32,1783882192.2864623,1783882192.3057725,1783882220.4661117,28.16,28.18
dask,33,1783882192.28648,1783882192.306133,1783882221.0696707,28.764,28.783
dask,34,1783882192.2864962,1783882192.306569,1783882221.0716424,28.765,28.785
dask,35,1783882192.2865126,1783882192.3069313,1783882221.825396,29.518,29.539
dask,36,1783882192.2865295,1783882192.3073096,1783882222.8292778,30.522,30.543
dask,37,1783882192.286547,1783882192.3076851,1783882223.8878102,31.58,31.601
dask,38,1783882192.286568,1783882192.3080444,1783882227.252783,34.945,34.966
dask,39,1783882192.2865858,1783882192.30844,1783882225.1938083,32.885,32.907
dask,40,1783882192.2866027,1783882192.3088994,1783882225.947946,33.639,33.661
dask,41,1783882192.286623,1783882192.3093026,1783882229.0105846,36.701,36.724
