config,batch_id,send_time,start_time,end_time,calc_time,latency
spark,0,1783882446.7723675,1783882446.7840226,1783882456.3234534,9.539,9.551
spark,1,1783882446.7736168,1783882446.786758,1783882451.9150672,5.128,5.141
spark,2,1783882446.7736714,1783882446.7874124,1783882451.6403549,4.853,4.867
spark,3,1783882446.773709,1783882446.7892992,1783882455.4168656,8.628,8.643
spark,4,1783882446.7737367,1783882446.7905703,1783882451.5163507,4.726,4.743
spark,5,1783882446.7737625,1783882446.7915437,1783882452.828067,6.037,6.054
spark,6,1783882446.773785,1783882446.7921023,1783882454.3987856,7.607,7.625
spark,7,1783882446.7738059,1783882446.7940795,1783882454.5077448,7.714,7.734
spark,8,1783882446.7738261,1783882451.5163872,1783882457.6180787,6.102,10.844
spark,9,1783882446.773845,1783882451.6403809,1783882457.7013826,6.061,10.928
spark,10,1783882446.773864,1783882451.9150958,1783882458.7232604,6.808,11.949
spark,11,1783882446.7738838,1783882452.8280988,1783882460.659937,7.832,13.886
spark,12,1783882446.7739055,1783882454.398817,1783882460.543588,6.145,13.77
spark,13,1783882446.7739258,1783882454.5077646,1783882460.1216373,5.614,13.348
spark,14,1783882446.7739453,1783882455.4168935,1783882461.926354,6.509,15.152
spark,15,1783882446.7739637,1783882456.3234801,1783882464.254667,7.931,17.481
spark,16,1783882446.7739832,1783882457.6181076,1783882463.6188848,6.001,16.845
spark,17,1783882446.7740028,1783882457.7014031,1783882463.9635658,6.262,17.19
spark,18,1783882446.7740216,1783882458.7232919,1783882465.1694286,6.446,18.395
spark,19,1783882446.7740393,1783882460.121662,1783882467.1958752,7.074,20.422
spark,20,1783882446.7740576,1783882460.5436134,1783882467.4687362,6.925,20.695
spark,21,1783882446.7740772,1783882460.659962,1783882467.906998,7.247,21.133
spark,22,1783882446.7740955,1783882461.926381,1783882468.3318555,6.405,21.558
spark,23,1783882446.7741137,1783882463.6189182,1783882470.0025237,6.384,23.228
spark,24,1783882446.7741315,1783882463.9636207,1783882470.3587623,6.395,23.585
spark,25,1783882446.7741847,1783882464.25469,1783882472.5205975,8.266,25.746
spark,26,1783882446.7742116,1783882465.1694677,1783882472.3286645,7.159,25.554
spark,27,1783882446.7742333,1783882467.1958995,1783882472.6355305,5.44,25.861
spark,28,1783882446.7742527,1783882467.4687521,1783882473.0493498,5.581,26.275
spark,29,1783882446.7742844,1783882467.9070206,1783882476.42969,8.523,29.655
spark,30,1783882446.7743058,1783882468.3318787,1783882475.147248,6.815,28.373
spark,31,1783882446.7743235,1783882470.0025408,1783882476.8446205,6.842,30.07
spark,32,1783882446.7743404,1783882470.3587863,1783882476.0326948,5.674,29.258
spark,33,1783882446.7743578,1783882472.3286858,1783882477.8754442,5.547,31.101
spark,34,1783882446.7743745,1783882472.520615,1783882478.7642882,6.244,31.99
spark,35,1783882446.7743907,1783882472.6355472,1783882480.1865036,7.551,33.412
spark,36,1783882446.774411,1783882473.0493684,1783882480.228642,7.179,33.454
spark,37,1783882446.7744284,1783882475.14727,1783882479.7520347,4.605,32.978
spark,38,1783882446.7744448,1783882476.0327175,1783882483.0666544,7.034,36.292
spark,39,1783882446.7744613,1783882476.429711,1783882482.9364617,6.507,36.162
spark,40,1783882446.774477,1783882476.8446367,1783882482.9033935,6.059,36.129
spark,41,1783882446.774497,1783882477.8754666,1783882482.617752,4.742,35.843
spark,42,1783882446.774514,1783882478.7643104,1783882486.8996046,8.135,40.125
spark,43,1783882446.7745304,1783882479.7520583,1783882486.4115987,6.66,39.637
spark,44,1783882446.7745466,1783882480.1865203,1783882485.74119,5.555,38.967
spark,45,1783882446.774563,1783882480.2286584,1783882486.347778,6.119,39.573
spark,46,1783882446.7745798,1783882482.6177685,1783882489.5301878,6.912,42.756
spark,47,1783882446.7745957,1783882482.9034178,1783882489.436555,6.533,42.662
spark,48,1783882446.7746115,1783882482.9364798,1783882490.9720867,8.036,44.197
spark,49,1783882446.7746274,1783882483.066681,1783882490.3056555,7.239,43.531
spark,50,1783882446.774643,1783882485.741211,1783882492.260476,6.519,45.486
spark,51,1783882446.7746594,1783882486.3478072,1783882492.07302,5.725,45.298
spark,52,1783882446.774678,1783882486.4116232,1783882494.1020594,7.69,47.327
spark,53,1783882446.7746952,1783882486.8996296,1783882494.2345629,7.335,47.46
spark,54,1783882446.7747118,1783882489.4365795,1783882495.583874,6.147,48.809
spark,55,1783882446.7747302,1783882489.5302272,1783882495.3914008,5.861,48.617
spark,56,1783882446.7747474,1783882490.305678,1783882497.6972818,7.392,50.923
spark,57,1783882446.7747636,1783882490.972105,1783882498.55111,7.579,51.776
spark,58,1783882446.7747846,1783882492.0730412,1783882498.0906801,6.018,51.316
spark,59,1783882446.774802,1783882492.2605023,1783882498.5464423,6.286,51.772
spark,60,1783882446.774818,1783882494.102089,1783882501.1513946,7.049,54.377
spark,61,1783882446.774834,1783882494.2345846,1783882501.4144895,7.18,54.64
spark,62,1783882446.7748501,1783882495.3914208,1783882501.0270941,5.636,54.252
spark,63,1783882446.7748663,1783882495.5838943,1783882501.3087823,5.725,54.534
spark,64,1783882446.7748833,1783882497.6973014,1783882503.8123302,6.115,57.037
spark,65,1783882446.7749002,1783882498.0907023,1783882503.9921784,5.901,57.217
spark,66,1783882446.7749164,1783882498.546468,1783882504.3542335,5.808,57.579
spark,67,1783882446.774932,1783882498.5511332,1783882505.5746217,7.023,58.8
spark,68,1783882446.774951,1783882501.0271156,1783882506.3016376,5.275,59.527
spark,69,1783882446.7749681,1783882501.151419,1783882507.2127025,6.061,60.438
spark,70,1783882446.774984,1783882501.3088129,1783882507.6354735,6.327,60.86
spark,71,1783882446.7749999,1783882501.41451,1783882508.8648589,7.45,62.09
spark,72,1783882446.7750156,1783882503.8123477,1783882509.4114397,5.599,62.636
spark,73,1783882446.7750313,1783882503.9922125,1783882511.6577094,7.665,64.883
spark,74,1783882446.7751052,1783882504.354265,1783882510.4322925,6.078,63.657
spark,75,1783882446.7751267,1783882505.5746443,1783882511.7074468,6.133,64.932
spark,76,1783882446.7751436,1783882506.3016627,1783882512.7175677,6.416,65.942
spark,77,1783882446.775181,1783882507.2127278,1783882512.6349204,5.422,65.86
spark,78,1783882446.7751985,1783882507.6354988,1783882514.2285783,6.593,67.453
spark,79,1783882446.7752151,1783882508.8648932,1783882516.2332227,7.368,69.458
spark,80,1783882446.7752311,1783882509.411461,1783882514.705444,5.294,67.93
spark,81,1783882446.7752478,1783882510.4323182,1783882516.9164665,6.484,70.141
spark,82,1783882446.775274,1783882511.6577327,1783882516.549058,4.891,69.774
spark,83,1783882446.7753003,1783882511.7074695,1783882519.176717,7.469,72.401
spark,84,1783882446.7753177,1783882512.6349413,1783882519.0563323,6.421,72.281
spark,85,1783882446.7753346,1783882512.717591,1783882519.6685858,6.951,72.893
spark,86,1783882446.7753508,1783882514.2285972,1783882519.5428889,5.314,72.768
spark,87,1783882446.7753677,1783882514.7054658,1783882521.0608325,6.355,74.285
spark,88,1783882446.775384,1783882516.2332442,1783882522.3061097,6.073,75.531
spark,89,1783882446.7754002,1783882516.5490787,1783882524.2600722,7.711,77.485
spark,90,1783882446.7754161,1783882516.9164853,1783882522.2549293,5.338,75.48
spark,91,1783882446.7754316,1783882519.056358,1783882524.0889492,5.033,77.314
spark,92,1783882446.7754483,1783882519.1767435,1783882524.4847877,5.308,77.709
spark,93,1783882446.7754667,1783882519.542913,1783882526.2271287,6.684,79.452
spark,94,1783882446.7754846,1783882519.6686068,1783882528.1864657,8.518,81.411
spark,95,1783882446.775501,1783882521.0608575,1783882527.2001147,6.139,80.425
spark,96,1783882446.775517,1783882522.2549484,1783882526.9755144,4.721,80.2
spark,97,1783882446.7755327,1783882522.3061278,1783882529.1156516,6.81,82.34
spark,98,1783882446.775549,1783882524.0889738,1783882528.8418033,4.753,82.066
spark,99,1783882446.7755685,1783882524.2600894,1783882529.6837432,5.424,82.908
