engine,trial,batch_id,order,calc_time,cpu_percent,mem_percent
baseline,3,0,0,1.425,19.7,60.4
baseline,3,1,1,1.197,57.1,60.4
baseline,3,2,2,1.18,50.0,59.6
baseline,3,3,3,1.198,50.0,59.7
baseline,3,4,4,1.271,50.0,60.2
baseline,3,5,5,1.422,50.0,60.2
baseline,3,6,6,1.73,50.0,60.3
baseline,3,7,7,1.442,50.0,60.3
baseline,3,8,8,1.692,66.7,60.2
baseline,3,9,9,1.408,50.0,60.2
baseline,3,10,10,1.724,50.0,60.1
baseline,3,11,11,1.629,50.0,60.2
baseline,3,12,12,1.429,50.0,60.3
baseline,3,13,13,1.461,50.0,60.3
baseline,3,14,14,1.345,60.0,60.1
baseline,3,15,15,1.467,50.0,60.1
baseline,3,16,16,1.924,40.0,60.2
baseline,3,17,17,1.448,60.0,60.2
baseline,3,18,18,1.767,50.0,56.0
baseline,3,19,19,1.449,60.0,58.3
