engine,trial,batch_id,order,calc_time,cpu_percent,mem_percent
dask,3,0,0,1.794,27.7,58.2
dask,3,1,1,1.345,50.0,58.2
dask,3,2,2,1.391,50.0,57.6
dask,3,3,3,1.222,50.0,57.6
dask,3,4,4,1.395,60.0,57.5
dask,3,5,5,1.178,60.0,57.5
dask,3,6,6,1.669,50.0,57.5
dask,3,7,7,1.317,50.0,57.5
dask,3,8,8,1.672,50.0,57.5
dask,3,9,9,1.644,50.0,57.5
dask,3,10,10,1.394,50.0,57.6
dask,3,11,11,1.204,50.0,57.5
dask,3,12,12,1.137,40.0,57.5
dask,3,13,13,1.263,50.0,57.5
dask,3,14,14,1.225,50.0,57.5
dask,3,15,15,1.62,50.0,57.6
dask,3,16,16,1.603,60.0,57.6
dask,3,17,17,1.221,66.7,57.5
dask,3,18,18,1.245,40.0,57.6
dask,3,19,19,1.248,50.0,57.6
