engine,trial,batch_id,order,calc_time,cpu_percent,mem_percent
spark,5,0,0,3.025,74.2,67.9
spark,5,1,1,1.539,100.0,67.9
spark,5,2,2,3.437,40.0,68.0
spark,5,3,3,1.737,60.0,68.0
spark,5,4,4,1.88,50.0,68.0
spark,5,5,5,1.551,40.0,68.5
spark,5,6,6,1.523,50.0,68.5
spark,5,7,7,1.644,60.0,68.5
spark,5,8,8,1.318,75.0,68.5
spark,5,9,9,1.466,50.0,68.6
spark,5,10,10,1.501,50.0,68.6
spark,5,11,11,1.494,50.0,68.6
spark,5,12,12,1.46,40.0,68.6
spark,5,13,13,1.363,50.0,68.7
spark,5,14,14,1.559,100.0,68.7
spark,5,15,15,1.327,50.0,68.7
spark,5,16,16,1.55,50.0,68.3
spark,5,17,17,1.427,50.0,68.3
spark,5,18,18,1.529,50.0,68.4
spark,5,19,19,1.569,50.0,68.4
